상권_코드,행정동_코드,자치구_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,상권_변화_지표,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,읍면동명,계,경쟁업체수,지하철_총승객수,임대료
3110010,11110560,11110,CS100009,호프-간이주점,13091638.0,11504076.0,1587562.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,5.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS100010,커피-음료,146200998.0,115016205.0,31184793.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,7.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS200001,일반교습학원,481732024.0,417998250.0,63733774.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,15.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS200003,예술학원,6000000.0,5653037.0,346963.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,4.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS200005,스포츠 강습,9000000.0,7762070.0,1237930.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,4.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS200028,미용실,23570329.0,14216486.0,9353843.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,6.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS200030,피부관리실,33157895.0,0.0,33157895.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,2.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS200031,세탁소,104307290.0,81806148.0,22501142.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,1.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS300001,슈퍼마켓,767015749.0,534868921.0,232146828.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,5.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS300007,육류판매,211470348.0,137704851.0,73765497.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,1.0,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS300021,문구,7281736.0,5119350.0,2162386.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,10.139166621628926,43409.12321359598,73.52000000000001
3110010,11110560,11110,CS300029,애완동물,539923.0,273764.0,266159.0,HH,5579.0,694.0,1494.0,1825.0,평창동,16959.0,1.0,43409.12321359598,73.52000000000001
3110017,11110600,11110,CS100001,한식음식점,3602404.0,3602404.0,0.0,LL,387.0,41.0,125.0,119.0,가회동,3525.0,34.0,43409.12321359598,73.52000000000001
3110017,11110600,11110,CS100010,커피-음료,47121939.0,20205202.0,26916737.0,LL,387.0,41.0,125.0,119.0,가회동,3525.0,10.0,43409.12321359598,73.52000000000001
3110017,11110600,11110,CS300001,슈퍼마켓,472383.0,404341.0,68042.0,LL,387.0,41.0,125.0,119.0,가회동,3525.0,1.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS100001,한식음식점,652922708.0,434405189.0,218517519.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,2.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS100004,양식음식점,51015849.0,40026340.0,10989509.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,10.139166621628926,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS100010,커피-음료,230042740.0,149771107.0,80271633.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,4.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS200028,미용실,11676682.0,10909855.0,766827.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,10.139166621628926,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS300001,슈퍼마켓,170340.0,170340.0,0.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,4.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS300010,반찬가게,960124402.0,489089013.0,471035389.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,10.139166621628926,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS300011,일반의류,52478869.0,40161475.0,12317394.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,1.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS300015,가방,43546597.0,22813976.0,20732621.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,1.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS300017,시계및귀금속,300000000.0,300000000.0,0.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,1.0,43409.12321359598,73.52000000000001
3110018,11110600,11110,CS300021,문구,51375303.0,8809692.0,42565611.0,LL,1726.0,183.0,596.0,516.0,가회동,3525.0,10.139166621628926,43409.12321359598,73.52000000000001
3110019,11110615,11110,CS100001,한식음식점,191293436.0,112115266.0,79178170.0,HH,1369.0,277.0,419.0,375.0,종로1.2.3.4가동,6651.0,40.0,43409.12321359598,73.52000000000001
3110019,11110615,11110,CS100009,호프-간이주점,141962814.0,73091299.0,68871515.0,HH,1369.0,277.0,419.0,375.0,종로1.2.3.4가동,6651.0,9.0,43409.12321359598,73.52000000000001
3110019,11110615,11110,CS100010,커피-음료,394019652.0,282397025.0,111622627.0,HH,1369.0,277.0,419.0,375.0,종로1.2.3.4가동,6651.0,37.0,43409.12321359598,73.52000000000001
3110019,11110615,11110,CS300001,슈퍼마켓,18506280.0,10726581.0,7779699.0,HH,1369.0,277.0,419.0,375.0,종로1.2.3.4가동,6651.0,1.0,43409.12321359598,73.52000000000001
3110019,11110615,11110,CS300017,시계및귀금속,1642167072.0,439795875.0,1202371197.0,HH,1369.0,277.0,419.0,375.0,종로1.2.3.4가동,6651.0,4.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS100001,한식음식점,828551074.0,660156650.0,168394424.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,12.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS100008,분식전문점,84606370.0,78902900.0,5703470.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,3.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS100010,커피-음료,52972570.0,42018480.0,10954090.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,8.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS200028,미용실,4517755.0,4119130.0,398625.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,1.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS200031,세탁소,75286484.0,51799403.0,23487081.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,10.139166621628926,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS200032,가전제품수리,72244088.0,65351390.0,6892698.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,3.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS300001,슈퍼마켓,696325782.0,495973979.0,200351803.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,1.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS300002,편의점,179832900.0,126059211.0,53773689.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,2.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS300018,의약품,71860264.0,57730400.0,14129864.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,10.139166621628926,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS300035,인테리어,52419258.0,43090016.0,9329242.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,2.0,43409.12321359598,73.52000000000001
3110020,11110650,11110,CS300043,전자상거래업,2000000.0,1037748.0,962252.0,LL,448.0,72.0,127.0,110.0,혜화동,15736.0,10.139166621628926,43409.12321359598,73.52000000000001
3110001,11110560,11110,CS100001,한식음식점,600267476.0,376991304.0,223276172.0,LH,2680.0,332.0,718.0,876.0,평창동,16959.0,4.0,43409.12321359598,73.52000000000001
3110001,11110560,11110,CS100009,호프-간이주점,9474514.0,4025074.0,5449440.0,LH,2680.0,332.0,718.0,876.0,평창동,16959.0,1.0,43409.12321359598,73.52000000000001
3110001,11110560,11110,CS200001,일반교습학원,40341396.0,40341396.0,0.0,LH,2680.0,332.0,718.0,876.0,평창동,16959.0,10.139166621628926,43409.12321359598,73.52000000000001
3110002,11110570,11110,CS100001,한식음식점,511312176.0,362025461.0,149286715.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,4.0,4781.0,73.52000000000001
3110002,11110570,11110,CS100005,제과점,362436898.0,258046733.0,104390165.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,3.0,4781.0,73.52000000000001
3110002,11110570,11110,CS100010,커피-음료,51907598.0,37339867.0,14567731.0,HH,426.0,119.0,120.0,103.0,무악동,7699.0,5.0,4781.0,73.52000000000001
